Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1996 [YR1996],1997 [YR1997],1995 [YR1995],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004]
Brazil,BRA,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,14282.7218225755,14236.0177474186,14200.3166718022,14807.2205545288,15480.8680489801,15535.6279086956,15214.7654836184,15061.9566296437,14619.5110785703,11585.2901091511,11599.5501892547,11404.5916164246,11403.0670561878,11080.4243305743,11193.3811754373,11128.276658177,11327.5407816869,11062.294897467,13724.0996531641,13874.210830321,13333.6116055629,12701.7376680735,12351.6001763102,12106.2895350968
Brazil,BRA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,3.02544094379658,3.47281059925386,8.10000829597706,7.5661563986378,7.84674863327621,7.50454436934274,7.9431269413538,8.3185922188201,8.42333832793074,14.0910215232072,9.79811223877498,8.22509431879853,5.60606514569551,8.01050088213842,4.92436158306298,18.457783497873,7.72902341336797,89.4974402737941,7.31348273630748,8.77855272640775,6.43903809050693,6.77427409887123,7.43122546680286,7.75206076116663
Brazil,BRA,Trade (% of GDP),NE.TRD.GNFS.ZS,29.0820580949109,24.1444790483995,24.5419928022141,26.9536259376792,24.6854015449855,25.7859621600797,25.1142736086534,23.9344051776102,22.7721781120049,28.1403847231593,27.6183574022309,26.936285022064,22.6397613567941,20.9821664782285,16.4385849312059,15.6355914758682,16.5762092613247,16.9844599991956,22.1059755993695,27.2575694188187,25.2926113700037,26.0416998822356,27.0867952089385,29.6782524787535
Brazil,BRA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2309659590893.59,2284132600500.23,2260088395634.38,2337348378410.64,2423271865109.14,2411120883015.01,2340784460891.31,2296661550704.87,2208871646202.82,1626070712767.17,1607729271032.29,1560092443326.51,1538706023647.11,1474026486641.66,1467161088733.51,1414207205945.88,1462217362494.31,1383662367610.28,2054224952705.78,2056812669849.93,1957113483856.3,1845117253979.08,1774799882787.63,1719731810823.1
Brazil,BRA,"Population, total",SP.POP.TOTL,209469333,207833831,206163058,204471769,202763735,201035903,199287296,197514534,195713635,181809246,179537520,177196054,174790340,172318675,169785250,164614688,167209040,162019896,193886508,192030362,190130443,188167356,186127103,184006481
Brazil,BRA,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,273056516944.71,251721061711.34,217753196279.63,223884769813.385,264063098515.125,279587813724.59,281099514398.14,292487960972.715,231995637790.95,82570023303.5733,68943055575.7244,66517202823.9496,63716723040.9693,54563000000,58767000000,52506000000,59178000000,52641000000,180723090100,228392969446.029,184603323407.868,156303207937.529,133005199276.194,107984756804.627
Brazil,BRA,Exports of goods and services (constant 2010 US$),NE.EXP.GNFS.KD,299603242894.497,287929027455.662,273580990109.141,271239849647.567,253923382219.191,257972729649.841,253335934515.689,251555820827.649,240006821282.401,168739511653.024,151995751762.165,142750083049.113,130686985675.307,115795099704.411,109544190939.063,94054906093.679,104419087767.167,94452788994.9978,214825566564.347,236714735504.775,235749926671.214,222036713506.139,211791454581.628,193162496873.579
Brazil,BRA,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,253419451992.64,221543309809.41,203163012495.79,243145561020.6,318799145127.77,325571419168.28,303848045030.47,302029366543.06,243660936841.03,62707203451.3367,60778949499.4464,71626048627.3636,71576500702.0768,62807000000,74415000000,66018000000,75139000000,63293000000,174697463800,220247095195.331,157790361251.242,119498967176.935,96610925191.4596,78995242018.1936
Brazil,BRA,Imports of goods and services (constant 2010 US$),NE.IMP.GNFS.KD,265802121532.515,244990378922.237,233352208958.618,260271963278.763,303314176614.37,310365353399.272,290959301102.774,287705775352.433,263001364256.48,108997439404.275,109526999374.716,126339311391.542,122266133924.511,110349903876.762,129967367382.901,113478740791.269,130041050250.114,107475316450.659,196799823215.098,212991356923.602,182003900181.901,152231143929.059,129269533708.504,120293983344.702
Brazil,BRA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,88318892546.37,70257759617.82,73377909022.23,60334050667.77,87713987796.95,75211028087.44,92568379494.5,102427229784.41,82389933624.1,10123013670.9901,16586600193.114,23225846372.251,32994718699.75,28576000000,31913000000,11200000000,19650000000,4859000000,31480932200,50716402711.4787,44579492463.6336,19378093068.2773,15459981604.1196,18181190855.2842
Brazil,BRA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,4.72640798059412,3.42120819867535,4.08500319645776,3.34777324755873,3.57142509329929,3.04152506161037,3.75502209852013,3.91511230014567,3.72995568872158,1.813120630893,3.26531989954919,4.15212683312315,5.0341286817021,4.76752493360535,3.69481706414172,1.3169863453796,2.22486507427768,0.6316087326659,1.8884558245792,2.99066328727668,3.19089484217804,1.74949333731882,1.73390066852418,2.71638106510044
Brazil,BRA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,15.422724055032,15.0356329179689,14.9746178719222,17.4116258632937,20.5484072031028,21.6937710091008,21.4172253653349,21.8262711070469,21.8013215651568,16.8566884007152,17.4490794834956,18.7418602950836,18.9031192683871,17.3895597435179,18.1647519194741,17.2669463759545,17.7639856110956,17.2923463458623,18.7961350502449,21.6193828366983,19.8193259705999,17.8164738964017,17.2048834771385,17.9125683422575
Brazil,BRA,Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,403465357605.73,387460388813.097,397370642678.49,452224715779.9,525515774329.241,548692940882.219,518480064859.027,514473463847.203,481563210550.25,281525476352.888,293208401375.625,297503684629.377,293672794906.776,280186864313.324,307476317189.632,284067766086.858,307980915586.63,281817558549.341,408610256423.374,417519602091.86,371832677467.03,332134595782.174,311393344247.385,305418440484.311
Brazil,BRA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,12.543999671936,12.8269996643066,11.6090002059937,8.4370002746582,6.67000007629395,6.9850001335144,7.19299983978271,6.91699981689453,7.72599983215332,9.99100017547607,9.37100028991699,9.60999965667725,9.89400005340576,10.2080001831055,9.42300033569336,7.25299978256226,8.15799999237061,6.42000007629395,8.52200031280518,7.34299993515015,8.32699966430664,8.63899993896484,9.56799983978271,9.10499954223633
Brazil,BRA,Population density (people per sq. km of land area),EN.POP.DNST,25.0617162430876,24.8660384966033,24.6661407920901,24.4637884744692,24.2594327206771,24.0527082580574,23.8434981945744,23.6313981340346,23.4159316546504,21.7523571033747,21.4805590717552,21.2004170784409,20.9125882074241,20.6168687052382,20.3137599992343,19.6951340848562,20.005532331356,19.3846831950649,23.1973271565205,22.9752507136755,22.7479371008382,22.5130658256502,22.2689621135803,22.0152427453955
